,actor,episod,season
456,Jennifer Aniston,E14,S2
457,Courteney Cox,E14,S2
458,Lisa Kudrow,E14,S2
459,Matt LeBlanc,E14,S2
460,Matthew Perry,E14,S2
461,David Schwimmer,E14,S2
462,Elliott Gould,E14,S2
463,Patrick Kerr,E14,S2
464,Christina Pickles,E14,S2
465,Michael Bower,E14,S2
466,Lou Thornton,E14,S2
467,Tim Bohn,E14,S2
468,Jennifer Aniston,E15,S2
469,Courteney Cox,E15,S2
470,Lisa Kudrow,E15,S2
471,Matt LeBlanc,E15,S2
472,Matthew Perry,E15,S2
473,David Schwimmer,E15,S2
474,Tom Selleck,E15,S2
475,Jennifer Aniston,E16,S2
476,Courteney Cox,E16,S2
477,Lisa Kudrow,E16,S2
478,Matt LeBlanc,E16,S2
479,Matthew Perry,E16,S2
480,David Schwimmer,E16,S2
481,Tom Selleck,E16,S2
482,Audrie Neenan,E16,S2
483,Elliott Gould,E16,S2
484,Christina Pickles,E16,S2
485,Warren Berlinger,E16,S2
486,Josie DiVincenzo,E16,S2
487,Stephen Samuels,E16,S2
488,Jennifer Aniston,E17,S2
489,Courteney Cox,E17,S2
490,Lisa Kudrow,E17,S2
491,Matt LeBlanc,E17,S2
492,Matthew Perry,E17,S2
493,David Schwimmer,E17,S2
494,Adam Goldberg,E17,S2
495,DeeDee Rescher,E17,S2
496,Barry Heins,E17,S2
497,Linda Lutz,E17,S2
498,Willie Basse,E17,S2
499,Paxton Culpepper,E17,S2
500,James Michael Tyler,E17,S2
501,Jennifer Aniston,E18,S2
502,Courteney Cox,E18,S2
503,Lisa Kudrow,E18,S2
504,Matt LeBlanc,E18,S2
505,Matthew Perry,E18,S2
506,David Schwimmer,E18,S2
507,Tom Selleck,E18,S2
508,Adam Goldberg,E18,S2
509,Roark Critchlow,E18,S2
510,Mary Gallagher,E18,S2
511,Vanessa Sandin,E18,S2
512,Brian Posehn,E18,S2
513,James E. Reilly,E18,S2
514,James Michael Tyler,E18,S2
515,Jennifer Aniston,E19,S2
516,Courteney Cox,E19,S2
517,Lisa Kudrow,E19,S2
518,Matt LeBlanc,E19,S2
519,Matthew Perry,E19,S2
520,David Schwimmer,E19,S2
521,Adam Goldberg,E19,S2
522,June Gable,E19,S2
523,James Michael Tyler,E19,S2
524,Jason Graae,E19,S2
525,Tim Hutchinson,E19,S2
526,Jennifer Aniston,E20,S2
527,Courteney Cox,E20,S2
528,Lisa Kudrow,E20,S2
529,Matt LeBlanc,E20,S2
530,Matthew Perry,E20,S2
531,David Schwimmer,E20,S2
532,Tom Selleck,E20,S2
533,Jane Sibbett,E20,S2
534,Jessica Hecht,E20,S2
535,James Michael Tyler,E20,S2
536,Jennifer Aniston,E21,S2
537,Courteney Cox,E21,S2
538,Lisa Kudrow,E21,S2
539,Matt LeBlanc,E21,S2
540,Matthew Perry,E21,S2
541,David Schwimmer,E21,S2
542,Peter DeLuise,E21,S2
543,Nicky Katt,E21,S2
544,Giovanni Ribisi,E21,S2
545,Laraine Newman,E21,S2
546,James Michael Tyler,E21,S2
547,Jill Melody,E21,S2
548,Richard Saxton,E21,S2
549,Jennifer Aniston,E22,S2
550,Courteney Cox,E22,S2
551,Lisa Kudrow,E22,S2
552,Matt LeBlanc,E22,S2
553,Matthew Perry,E22,S2
554,David Schwimmer,E22,S2
555,Marlo Thomas,E22,S2
556,Ron Leibman,E22,S2
557,James Michael Tyler,E22,S2
558,Nancy Rubin,E22,S2
559,Lewis Dix Jr.,E22,S2
560,Jennifer Aniston,E23,S2
561,Courteney Cox,E23,S2
562,Lisa Kudrow,E23,S2
563,Matt LeBlanc,E23,S2
564,Matthew Perry,E23,S2
565,David Schwimmer,E23,S2
566,Tom Selleck,E23,S2
567,Dorien Wilson,E23,S2
568,Charlie Sheen,E23,S2
569,Mary-Pat Green,E23,S2
570,Steve Park,E23,S2
571,Jennifer Aniston,E24,S2
572,Courteney Cox,E24,S2
573,Lisa Kudrow,E24,S2
574,Matt LeBlanc,E24,S2
575,Matthew Perry,E24,S2
576,David Schwimmer,E24,S2
577,Tom Selleck,E24,S2
578,Maggie Wheeler,E24,S2
579,Mitchell Whitfield,E24,S2
580,Jana Marie Hupp,E24,S2
581,Peter Spears,E24,S2
582,Jackie Bright,E24,S2
583,Fritzi Burr,E24,S2
584,Mindy Sterling,E24,S2
585,Paxton Culpepper,E24,S2
586,Richard Lawrence,E24,S2
587,Jennifer Aniston,E1,S3
588,Courteney Cox,E1,S3
589,Lisa Kudrow,E1,S3
590,Matt LeBlanc,E1,S3
591,Matthew Perry,E1,S3
592,David Schwimmer,E1,S3
593,Maggie Wheeler,E1,S3
594,Christina Pickles,E1,S3
595,Elliott Gould,E1,S3
596,Jennifer Aniston,E2,S3
597,Courteney Cox,E2,S3
598,Lisa Kudrow,E2,S3
599,Matt LeBlanc,E2,S3
600,Matthew Perry,E2,S3
601,David Schwimmer,E2,S3
602,Peter Dennis,E2,S3
603,Tom Selleck,E2,S3
604,Jennifer Aniston,E3,S3
605,Courteney Cox,E3,S3
606,Lisa Kudrow,E3,S3
607,Matt LeBlanc,E3,S3
608,Matthew Perry,E3,S3
609,David Schwimmer,E3,S3
610,David Arquette,E3,S3
611,Maggie Wheeler,E3,S3
612,Jenny Inge,E3,S3
613,James Michael Tyler,E3,S3
614,Jennifer Aniston,E4,S3
615,Courteney Cox,E4,S3
616,Lisa Kudrow,E4,S3
617,Matt LeBlanc,E4,S3
618,Matthew Perry,E4,S3
619,David Schwimmer,E4,S3
620,Jane Sibbett,E4,S3
621,Jessica Hecht,E4,S3
622,Maggie Wheeler,E4,S3
623,Charles Thomas Allen,E4,S3
624,John Christopher Allen,E4,S3
625,Edo Azran,E4,S3
626,Sierra Dawn Hill,E4,S3
627,Mike Levey,E4,S3
628,James Michael Tyler,E4,S3
629,Jennifer Aniston,E5,S3
630,Courteney Cox,E5,S3
631,Lisa Kudrow,E5,S3
632,Matt LeBlanc,E5,S3
633,Matthew Perry,E5,S3
634,David Schwimmer,E5,S3
635,Isabella Rossellini,E5,S3
636,Giovanni Ribisi,E5,S3
637,Cynthia Mann,E5,S3
638,James Michael Tyler,E5,S3
639,Jennifer Aniston,E6,S3
640,Courteney Cox,E6,S3
641,Lisa Kudrow,E6,S3
642,Matt LeBlanc,E6,S3
643,Matthew Perry,E6,S3
