,title,description,season,episod,rating,vote,date
156, The One with All the Cheesecakes,Chandler refuses to give back a cheesecake accidentally delivered to his apartment; Phoebe gets angry with Joey when he blows off dinner with her for a date.,S7,E11,"8,4","4,8 k","jeu., 4 janv. 2001"
157, The One Where They're Up All Night,"After the gang head up to the roof to see a passing comet, separate events unfold that lead to them all having a sleepless night.",S7,E12,"8,5","4,9 k","jeu., 11 janv. 2001"
158, The One Where Rosita Dies,Rachel breaks Joey's armchair. Phoebe takes a temp job in a call centre. Ross and Monica find out their parents are selling their childhood home.,S7,E13,"8,3","4,6 k","jeu., 1 févr. 2001"
159, The One Where They All Turn Thirty,Rachel's 30th birthday prompts the rest of the gang to reminisce about their own 30th celebrations.,S7,E14,"8,4","4,9 k","jeu., 8 févr. 2001"
160, The One with Joey's New Brain,Joey's character on Days of Our Lives wakes up from his coma with a brain transplant from one of the show's legendary characters. Ross practices the bagpipes for Monica and Chandler's wedding. Phoebe and Rachel compete for the same man.,S7,E15,"8,2","4,7 k","jeu., 15 févr. 2001"
161, The One with the Truth About London,"Chandler is shocked to find out who Monica really wanted to sleep with the night they first got together. Meanwhile, Rachel gets into trouble with Ross when she teaches Ben practical jokes.",S7,E16,"8,6","4,9 k","jeu., 22 févr. 2001"
162, The One with the Cheap Wedding Dress,"Monica has to decide between her wedding dress and the band Chandler wants for the wedding. Joey and Ross date the same girl, and they both try to fight for her attention.",S7,E17,"8,2","4,5 k","jeu., 15 mars 2001"
163, The One with Joey's Award,Joey is nominated for a Soapy Award for his part on Days of Our Lives and Rachel is his date to the ceremony. Joey doesn't win the award but takes someone else's award home.,S7,E18,"8,2","4,6 k","jeu., 29 mars 2001"
164, The One with Ross and Monica's Cousin,Joey auditions for a naked role in a big movie but the role becomes more complicated than he thought it would be. Rachel and Phoebe plan Monica's wedding shower; Ross becomes attracted to his cousin after she visits.,S7,E19,"8,5","5,1 k","jeu., 19 avr. 2001"
165, The One with Rachel's Big Kiss,Rachel's college friend can't remember a scandalous kiss from the past; Chandler and Ross argue for possession of Val Kilmer's tuxedo.,S7,E20,"8,2","4,7 k","jeu., 26 avr. 2001"
166, The One with the Vows,"Monica and Chandler are getting married in four weeks and have to write their vows, but neither has a clue what to say, so they reflect on their past.",S7,E21,"7,2","4,6 k","jeu., 3 mai 2001"
167, The One with Chandler's Dad,Ross and Rachel hit the freeway together when Monica's Porsche shows up again; Chandler and Monica go off to Vegas to find Chandler's estranged dad.,S7,E22,"8,2","4,7 k","jeu., 10 mai 2001"
168, The One with Monica and Chandler's Wedding: Part 1,"So close to the wedding, Chandler suddenly realizes the overwhelming meaning of getting married. Meanwhile, Joey acts opposite a famous actor in a movie, but can't bring himself to tell him that he spits when he says his lines.",S7,E23,"8,7","5,1 k","jeu., 17 mai 2001"
169, The One with Monica and Chandler's Wedding: Part 2,Ross tries to find Chandler with Phoebe's help. Meanwhile Rachel tries to hinder Monica.,S7,E24,"9,1","5,9 k","jeu., 17 mai 2001"
170, The One After I Do,The gang learns that Rachel is pregnant; Joey tries to impress a Broadway director who's dating Chandler's mom; Chandler's shoes make it hard for him to dance.,S8,E1,"8,6",5 k,"jeu., 27 sept. 2001"
171, The One with the Red Sweater,"Monica, Phoebe and Joey advise Rachel to tell the father about the pregnancy. Chandler and Ross lose the wedding photos.",S8,E2,"9,0","5,7 k","jeu., 4 avr. 2002"
172, The One Where Rachel Tells...,"Even on their honeymoon, Monica is pushy, and is annoyed that Chandler won't jump the line at the airport check-in - especially after the couple in front of them, also on their honeymoon, get bumped up to first class.",S8,E3,"8,6","4,7 k","jeu., 11 oct. 2001"
173, The One with the Videotape,"Ross and Rachel tell everyone about the night they were together. They have two different stories of how it happened until Ross accidentally reveals that he videotaped it. Not surprisingly, everyone wants to see it.",S8,E4,"9,2","6,6 k","jeu., 18 oct. 2001"
174, The One with Rachel's Date,"Phoebe dates Monica's sous-chef Tim and Monica doesn't fire him for Phoebe's sake. When Phoebe decides to dump Tim, Monica can finally fire him.",S8,E5,"7,9","4,5 k","jeu., 25 oct. 2001"
175, The One with the Halloween Party,"Monica and Chandler decide to throw a Halloween party; Phoebe runs into Ursula and her fiancée, who knows nothing about the ""real"" Ursula.",S8,E6,"8,4","4,9 k","jeu., 1 nov. 2001"
176, The One with the Stain,"Chandler hires a maid, whom Monica suspects is stealing her clothing; Eric has trouble forgetting Ursula when he breaks up with her to date Phoebe. Joey, Rachel and Ross try to change their living arrangements.",S8,E7,"7,7","4,6 k","jeu., 8 nov. 2001"
177, The One with the Stripper,"Chandler finds out that Monica had a bachelorette party, even though they promised not to have parties. Rachel takes Phoebe along to dinner with Rachel's dad, because she is afraid he will be angry when she tells him she's pregnant.",S8,E8,"8,6","5,1 k","jeu., 15 nov. 2001"
178, The One with the Rumor,"Monica invites Will, an old school friend of her and Ross over for Thanksgiving dinner, unaware he isn't too fond of Rachel.",S8,E9,"9,2","8,2 k","jeu., 22 nov. 2001"
179, The One with Monica's Boots,Monica's expensive new boots hurt her feet but she's determined to show Chandler her purchase was worth it; Ben goes to school with Sting's son. Joey's sister becomes pregnant which causes Joey to intervene and she asks Rachel for advice.,S8,E10,"7,9","4,5 k","jeu., 6 déc. 2001"
180, The One with Ross's Step Forward,Ross' new girlfriend Mona orders Christmas cards with a photo of them on the cover. Rachel's pregnancy hormones are affecting her psychologically. Chandler's boss causes him to see what his life would be like without Monica.,S8,E11,"7,8","4,4 k","jeu., 13 déc. 2001"
181, The One Where Joey Dates Rachel,Joey takes Rachel to dinner on a pretend date to practice his dating skills but soon develops romantic feelings for her; gang addicted to Ms. Pac-Man. Ross is assigned to teach a new class but the travel time becomes too difficult for him.,S8,E12,"8,4","4,7 k","jeu., 10 janv. 2002"
182, The One Where Chandler Takes a Bath,Monica turns Chandler on to the concept of taking a bath to relax; Ross and Rachel toss baby names around while deciding whether to learn the baby's sex. Joey struggles with his feelings for Rachel.,S8,E13,"8,4","4,6 k","jeu., 17 janv. 2002"
183, The One with the Secret Closet,"Chandler's very curious about a locked closet, but Monica won't tell him what is inside. Monica moans when Phoebe massages her which makes Phoebe uncomfortable. Ross is upset when he can't be more involved with Rachel's pregnancy issues.",S8,E14,"8,0","4,4 k","jeu., 31 janv. 2002"
